,sample#1,sample#2,sample#4,sample#5,sample#6,sample#7,sample#8,sample#9,sample#10,sample#11,sample#12,sample#13,sample#14,sample#15,sample#16,sample#17,sample#18,sample#19,sample#20,sample#21,sample#22,sample#23,sample#24,sample#25,sample#26,sample#28,sample#29,sample#31,sample#32,sample#33,sample#34,sample#35,sample#36,sample#37,sample#39,sample#40,sample#41,sample#43,sample#45,sample#46,sample#47,sample#48,sample#49,sample#50,sample#51,sample#52,sample#53,sample#54,sample#55,sample#56,sample#57,sample#58,sample#59,sample#60,sample#62,sample#63,sample#64,sample#65,sample#66,sample#67,sample#68,sample#69,sample#70,sample#71,sample#72,sample#74,sample#75,sample#76,sample#77,sample#78,sample#79,sample#80,sample#81,sample#82,sample#83,sample#84,sample#85,sample#87,sample#88,sample#89,sample#90,sample#91,sample#92,sample#93,sample#94,sample#95,sample#96,sample#97,sample#100,sample#101,sample#102,sample#103,sample#104,sample#105,sample#106,sample#107,sample#108,sample#109,sample#110,sample#111,sample#112,sample#113,sample#114,sample#115,sample#116,sample#117,sample#119,sample#120,sample#121,sample#122,sample#123,sample#126,sample#127,sample#128,sample#130,sample#131,sample#132,sample#133,sample#134,sample#135,sample#136,sample#137,sample#138,sample#139,sample#140,sample#141,sample#142,sample#143,sample#144,sample#145,sample#146,sample#147,sample#148,sample#149,sample#150,sample#151,sample#152,sample#153,sample#154,sample#155,sample#156,sample#157,sample#158,sample#159,sample#160,sample#161,sample#162,sample#163,sample#164,sample#165,sample#166,sample#167,sample#168,sample#169,sample#170,sample#171,sample#174,sample#176,sample#177,sample#178,sample#179,sample#180,sample#181,sample#182,sample#183,sample#184,sample#186,sample#187,sample#189,sample#190,sample#192,sample#193,sample#194,sample#195,sample#196,sample#197,sample#198,sample#199,sample#200,sample#201,sample#202,sample#203,sample#204,sample#205,sample#206,sample#207,sample#208,sample#209,sample#210
1,140.0,188.0,34.0,39.0,16.0,26.0,14.0,11.0,85.0,18.0,23.0,196.0,80.0,2.0,120.0,146.0,23.0,138.0,229.0,22.0,121.0,33.0,80.0,96.0,145.0,138.0,121.0,140.0,142.0,66.0,165.0,228.0,124.0,156.0,8.0,122.0,44.0,188.0,120.0,143.0,181.0,107.0,226.0,93.0,60.0,179.0,112.0,103.0,174.0,80.0,67.0,92.0,67.0,125.0,21.0,45.0,18.0,52.0,54.0,80.0,140.0,69.0,9.0,6.0,74.0,36.0,94.0,18.0,68.0,45.0,59.0,67.0,226.0,231.0,103.0,1.0,230.0,59.0,140.0,127.0,23.0,191.0,219.0,136.0,66.0,190.0,37.0,198.0,230.0,151.0,176.0,118.0,42.0,217.0,14.0,22.0,130.0,162.0,150.0,163.0,187.0,140.0,236.0,112.0,197.0,141.0,169.0,208.0,189.0,189.0,210.0,229.0,226.0,196.0,54.0,157.0,96.0,152.0,208.0,222.0,123.0,20.0,223.0,184.0,225.0,58.0,160.0,160.0,186.0,142.0,252.0,206.0,239.0,207.0,90.0,86.0,4.0,134.0,252.0,219.0,205.0,202.0,223.0,87.0,105.0,77.0,88.0,214.0,198.0,189.0,124.0,182.0,151.0,112.0,137.0,4.0,250.0,178.0,229.0,5.0,118.0,86.0,204.0,71.0,60.0,103.0,8.0,200.0,186.0,2.0,242.0,200.0,57.0,63.0,117.0,233.0,232.0,29.0,63.0,93.0,72.0,52.0,233.0,237.0,36.0,186.0,197.0,208.0,223.0
1,125.0,133.0,137.0,111.0,128.0,67.0,110.0,108.0,101.0,145.0,55.0,129.0,116.0,44.0,136.0,124.0,85.0,116.0,124.0,116.0,60.0,149.0,95.0,84.0,102.0,133.0,113.0,25.0,33.0,41.0,99.0,20.0,29.0,32.0,39.0,11.0,79.0,42.0,74.0,24.0,27.0,21.0,83.0,29.0,52.0,101.0,30.0,64.0,50.0,40.0,71.0,56.0,32.0,46.0,122.0,89.0,87.0,102.0,91.0,87.0,124.0,139.0,80.0,81.0,129.0,145.0,144.0,90.0,103.0,108.0,99.0,136.0,110.0,124.0,125.0,81.0,124.0,120.0,125.0,143.0,129.0,119.0,80.0,45.0,160.0,105.0,78.0,127.0,117.0,89.0,100.0,126.0,57.0,148.0,146.0,87.0,32.0,159.0,158.0,68.0,80.0,73.0,117.0,90.0,121.0,17.0,102.0,65.0,144.0,141.0,153.0,104.0,131.0,95.0,133.0,85.0,94.0,155.0,34.0,62.0,152.0,134.0,62.0,145.0,58.0,113.0,41.0,110.0,12.0,111.0,137.0,61.0,93.0,115.0,134.0,197.0,189.0,187.0,201.0,176.0,190.0,193.0,161.0,196.0,193.0,185.0,180.0,161.0,183.0,187.0,191.0,186.0,163.0,197.0,182.0,201.0,176.0,185.0,195.0,210.0,180.0,193.0,156.0,180.0,181.0,216.0,199.0,250.0,173.0,245.0,183.0,215.0,177.0,220.0,224.0,211.0,175.0,195.0,201.0,236.0,191.0,170.0,184.0,191.0,243.0,218.0,236.0,240.0,185.0
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2777779,0.33333334,0.5000002,0.72222227,0.5,1.0,1.7222224,1.3333335,1.3333334,0.38888896,2.2222216,0.83333325,1.5,2.1666672,0.61111116,0.4999999,1.4444445,0.6111111,0.888889,0.38888875,2.277778,0.5555556,1.2222223,1.5000004,0.88888866,0.6666667,1.722222,0.99999875,0.49999872,0.61111194,0.88889056,1.0555547,1.0000013,0.77777356,1.3888906,1.0,0.44444403,0.7777786,0.3333346,1.2777773,0.7222214,0.66666156,0.8888893,1.2222239,0.7222226,0.44444785,0.55555725,0.6666667,1.0000013,0.6111107,1.6666666,0.44444275,0.944444,0.61110944,0.44444445,0.7777777,1.5555555,0.72222227,1.4444443,24.388891,1.0,2.8333328,2.9444444,4.111111,0.22222222,0.2777778,0.44444442,1.0555555,0.66666675,25.5,0.77777785,6.722223,0.33333334,3.4444447,0.9444445,12.166667,0.2777778,2.1666667,0.66666657,1.5,0.5,1.1111107,1.2777767,1.222222,3.0000007,1.8888893,1.0000006,2.4444444,3.2777786,8.388889,1.9444441,0.6666667,1.3888906,2.0555556,0.888889,1.8888899,1.1111113,2.1666667,2.166667,1.833334,1.3333327,1.7222214,0.7777786,7.38889,21.666666,3.7222226,1.0,1.3888874,0.0,0.0,0.0,0.49999985,0.0,1.722222,1.5555557,1.2222223,0.7222226,0.5,1.7222224,0.27777782,0.0,0.6666667,0.3333334,0.72222227,0.3333335,3.4444447,0.8333333,0.833333,0.44444433,1.1111113,0.88888884,0.5555555,3.444444,1.0555555,0.38888887,1.611112,2.0555565,1.8888887,4.6111107,2.1111119,1.2777773,1.111112,1.3888893,1.3333321,3.222222,2.944445,1.4999994,3.7222223,1.0555547,1.2222227,3.5000007,3.666666,2.0555556,4.2222233,1.8333334,2.722222,1.611112,2.6111119,4.166666,2.1666672,1.9444447,3.2777793,0.5000003,1.222222,1.6666666,0.88888884,1.6666671,2.2777777,1.4444445,1.8888888,1.4999999,1.5555559,0.94444495,3.055556,3.0555556,2.6666667,1.1666669,0.44444433,1.4444445,1.7777777,1.2777777,0.55555564,0.5000002,1.0,1.888889,1.1666666,2.4444444,1.0555557,0.5
1,0.06296301,0.26666674,0.16666673,0.37407416,0.077777766,0.8888903,5.3518505,0.80000025,1.2888881,0.018518496,3.6740727,0.43333334,1.6333328,2.3888876,0.4185187,0.16666664,1.0518525,0.15185188,0.074073985,0.10740741,2.329629,0.25185165,1.0074079,1.2777773,0.6074083,0.44444433,1.5296303,1.4666697,0.62360865,0.32773077,0.47407392,0.49065518,0.7111076,0.16296418,1.129629,0.31111577,0.34426486,0.5443299,0.08888922,0.9074056,0.46296388,0.51639783,0.5185186,1.2296363,0.5963011,0.3851871,0.2721644,0.6992054,0.7601153,0.5741323,0.8888911,0.029629406,1.0628421,0.61161584,0.4036867,0.3407409,1.9626132,0.50740725,1.540741,572.9964,0.44444454,1.7732588,13.751853,8.740745,0.029629637,0.19629629,0.118518494,0.37407416,0.57777774,12.795401,0.8296297,3.7083488,0.08888887,14.962965,0.82775915,267.45554,0.10740743,1.9860634,0.22222227,0.12222214,0.077777795,1.2938615,0.3296295,1.5444059,4.044447,2.2962983,0.17777735,4.385187,0.92895794,4.577317,0.7740748,0.39999974,0.97562754,2.551854,0.4740738,1.2590423,1.047041,0.9603238,1.6333338,2.21111,0.7111114,0.8277598,0.40368706,6.9455557,17.3628,4.4493027,0.35555485,1.2367799,0.0,0.0,0.0,0.54772234,0.0,1.1238165,1.0074074,1.2412657,0.28518537,0.61111104,1.7309811,0.2509242,0.0,0.088888995,0.29814243,0.6116159,0.42163706,1.2232318,0.8096638,0.6912145,0.27216548,0.45541987,0.544331,0.40368673,13.496301,0.3296295,0.018518528,1.4516907,3.8851852,1.5153537,5.495115,1.857917,0.9981452,0.7503075,3.040736,0.8692278,1.9051597,7.6629586,0.93689823,0.72963357,1.1816497,1.0036974,2.7386136,2.0439608,2.2851863,2.9938211,3.8555553,1.6788458,1.0628399,1.8063676,2.2779152,1.6699982,1.4819913,1.6521593,0.27888626,0.5629625,1.2000005,0.6518517,0.78881073,1.420746,0.82963055,2.162963,0.9368979,0.95839405,0.55185163,15.2629595,2.5596585,6.0888896,0.62360954,0.40368652,0.9185186,2.6962965,0.5074075,0.4554201,0.077777766,0.31111106,1.8518513,0.74444425,6.829628,0.86296326,0.34960312
1,0.66666675,0.5,1.111111,0.8888889,0.66666675,2.4444447,2.6666667,1.3888888,1.2777777,0.6111111,1.7777773,0.6666667,1.5555557,2.3888896,1.0000001,0.38888875,1.777778,0.4444445,0.8888889,0.33333325,2.888889,0.72222227,0.944444,1.6111107,2.611111,1.1666666,2.944444,1.1111107,0.50000125,0.38889185,0.7777786,0.8333333,1.0555534,2.6111095,1.8333334,2.8888905,0.7777786,1.6666679,0.50000125,0.88888806,0.5,1.1666666,1.0555521,1.3888906,0.7777774,0.61110944,1.2222227,1.3333308,0.9444453,0.7222226,1.4999987,0.8333333,1.7777786,2.166668,0.44444445,0.77777773,1.8888887,0.8333333,0.8333333,44.722225,1.1111112,2.1111112,16.666666,5.722223,0.11111111,1.2777778,0.49999997,0.6666667,1.111111,27.277779,0.99999994,2.6666667,0.49999997,1.8333334,0.83333343,9.222222,0.2777778,1.4444441,2.6666667,0.88888884,0.38888887,0.9444459,0.6666667,2.0555553,2.777778,2.166666,2.5555565,8.555555,1.4444433,0.72222203,1.4444447,1.8333336,0.99999875,1.0555553,1.1111112,1.1666666,0.83333397,2.2222223,1.388889,1.5555559,1.3333334,0.7777774,1.277778,1.2777773,0.94444436,5.0,0.8888893,26.444445,0.0,0.0,0.0,2.8333333,0.0,1.3333335,0.50000006,0.22222233,0.44444466,10.777778,0.4444445,0.6666667,0.0,0.61111116,0.44444442,0.22222222,0.4444445,0.7222223,0.22222225,0.4444437,2.3333333,0.55555534,0.6111111,0.4999999,1.0555555,0.16666669,0.94444436,1.2777786,11.722221,2.1111114,5.5555553,5.111111,1.6111107,3.3888881,8.999999,2.222222,2.8888893,6.2222214,3.833332,11.5,3.3888881,3.0555553,3.277778,1.7777767,18.166666,4.9444447,3.6111107,5.2222214,3.444444,3.1111114,4.111111,4.444444,3.1111114,2.222222,1.9999996,3.0,2.6666667,2.1666663,1.3888893,1.4444445,2.1111114,3.1666667,2.1666667,4.722222,1.4444443,3.6666667,3.0555556,1.6666666,2.8333333,0.61111087,0.94444424,1.9999999,3.1111114,0.94444436,0.7777777,1.5,2.0,1.1666665,3.3333333,2.4444444,2.3888886
1,0.31111118,0.077777736,0.47407418,0.4296295,0.31111118,3.1851847,1.0222229,0.95185167,1.2185181,0.3740741,0.7851852,0.17777774,0.87407404,1.5296285,0.4444444,0.107407376,0.96296287,0.20740739,0.3407407,0.13333334,2.8740742,0.15185171,0.5518514,2.2851882,1.4851857,0.21111093,1.5296295,0.118517555,0.3496027,0.32773316,0.47407353,0.7527733,0.90741664,1.0407379,0.699999,5.051852,0.4036864,1.2649081,0.07777796,1.1407489,0.25555483,0.4082483,0.50740635,1.5740819,0.7407436,0.32963282,0.7200825,0.91893595,0.9525792,0.7722025,0.29999846,0.5666677,1.3109215,0.7817352,0.4036867,0.47407398,1.7469552,0.5666668,0.25555572,1386.3292,1.0518516,1.6688871,71.5111,28.50741,0.029629635,2.0629628,0.1666667,0.22222227,0.96296334,15.930981,0.3555556,3.1972213,0.2111111,6.4333353,0.6912146,205.36296,0.15185183,1.8698385,3.7777781,0.60740745,0.15185186,0.772202,0.9333318,1.5263131,0.4296295,1.6777797,2.8740728,59.54075,0.86066324,0.38968238,0.6518514,2.1222224,0.36514837,0.5074078,0.7407407,0.62361073,0.83665866,1.4555128,0.41851807,0.96296287,0.7111086,1.0036957,0.74286777,0.87981415,0.9047208,2.319004,0.2962955,25.537477,0.0,0.0,0.0,2.0412421,0.0,1.264911,0.3444443,0.17213264,0.42963016,131.80739,0.50184834,0.55777335,0.0,0.24074072,0.50184846,0.2721655,0.34426522,0.38968182,0.17213258,0.2721654,1.9663839,0.34426492,0.71232533,0.45946813,0.86296237,0.033333343,0.1518523,1.1038647,114.59634,1.7847083,5.795274,2.8414931,1.1238158,2.489236,31.022234,1.6688869,2.1773255,32.118523,2.888675,18.922234,1.5974506,2.3890193,2.8001328,1.2412661,41.988934,3.1227946,9.218522,3.1245742,1.6953092,2.2771008,2.2476342,2.613356,1.0886629,1.8094397,0.55777323,1.8666646,2.0888875,1.1444442,0.71232533,1.0255988,1.9851853,3.2777781,1.798147,2.6450515,1.71852,6.0888896,3.0215273,1.7333333,2.1679492,0.6804136,0.5518518,0.93333334,4.6074066,0.38968262,0.785185,1.0111109,0.7111104,0.65555507,7.599998,5.007407,2.0807757
1,6.185185,6.6666665,5.851852,6.037037,5.5555553,20.0,17.925926,17.666666,21.296297,3.925926,23.444445,6.3333335,21.703703,18.74074,6.259259,6.037037,17.962963,6.4814816,5.888889,5.6296296,26.74074,5.4444447,21.407408,23.851852,23.074074,6.4444447,20.25926,128.0,110.59259,109.703705,93.40741,125.0,128.44444,136.2963,113.37037,143.44444,107.74074,108.92593,101.85185,127.62963,138.07408,126.77778,90.62963,128.48148,111.62963,134.92592,113.25926,108.77778,107.44444,110.703705,125.96296,126.0,126.22222,124.55556,0.5555556,2.2962964,2.925926,2.8888888,3.2592592,67.44444,2.5185184,18.074074,23.62963,12.481482,0.5185185,0.8518519,1.1481482,2.8148148,2.148148,49.814816,2.0370371,15.518518,1.6666666,3.0,1.7777778,21.333334,0.6666667,19.074074,3.925926,4.185185,0.5185185,39.851852,39.703705,53.074074,22.851852,45.74074,43.814816,40.74074,39.037037,31.703703,55.37037,20.555555,65.703705,29.074074,10.592592,64.03704,59.48148,26.11111,8.444445,56.77778,40.51852,46.296295,45.88889,65.18519,41.037037,44.592594,58.22222,56.703705,0.0,0.0,0.0,19.777779,0.0,7.6296296,5.3703704,18.925926,20.222221,7.296296,14.444445,6.4074073,0.0,2.9629629,6.4444447,0.5555556,8.333333,20.851852,0.7037037,31.62963,6.259259,28.74074,0.7407407,7.0740743,14.407408,1.2222222,2.1111112,63.22222,26.444445,59.37037,40.296295,60.296295,49.48148,41.703705,42.037037,61.592594,60.11111,32.555557,50.407406,40.444443,54.037037,48.51852,59.74074,48.444443,40.0,50.333332,34.925926,53.703705,53.666668,49.037037,47.703705,51.296295,48.555557,61.407406,23.703703,22.333334,19.62963,14.555555,15.0,9.222222,17.148148,6.4074073,15.37037,23.037037,19.592592,8.185185,20.25926,15.444445,15.37037,16.037037,7.7777777,12.518518,15.185185,25.444445,11.851851,7.3333335,13.333333,13.703704,16.074074,14.148149,12.962963
1,7.3333335,8.333334,7.7777777,7.0,6.888889,19.555555,18.88889,19.0,21.222221,5.5555553,21.666666,7.888889,21.222221,17.333334,7.7777777,7.4444447,18.88889,7.5555553,7.111111,6.7777777,24.666666,4.111111,21.333334,23.555555,22.11111,7.7777777,20.0,117.77778,96.77778,95.111115,79.0,114.0,119.22222,129.77779,102.55556,136.88889,93.888885,95.666664,89.111115,117.666664,132.55556,115.77778,74.55556,119.0,101.0,126.44444,100.77778,96.333336,94.666664,96.22222,115.55556,115.888885,115.111115,112.77778,0.0,0.11111111,1.2222222,0.6666667,0.5555556,58.77778,0.22222222,16.0,17.333334,7.6666665,0.0,0.33333334,0.0,0.5555556,0.11111111,41.77778,0.11111111,9.0,0.11111111,1.4444444,0.44444445,14.0,0.0,10.555555,1.5555556,0.8888889,0.0,36.22222,36.333336,48.11111,18.222221,41.22222,41.11111,38.0,33.555557,27.333334,50.333332,16.11111,59.444443,21.444445,8.0,55.77778,54.22222,25.222221,7.0,52.0,37.77778,45.666668,39.555557,57.666668,37.444443,40.333336,53.444443,52.666668,0.0,0.0,0.0,16.333334,0.0,6.7777777,3.6666667,14.555555,16.0,5.3333335,10.777778,4.111111,0.0,1.1111112,4.111111,0.33333334,5.5555553,16.88889,0.5555556,27.222221,3.8888888,24.555555,0.33333334,4.666667,9.888889,0.44444445,1.0,56.22222,23.444445,52.666668,35.77778,53.333332,44.77778,37.88889,36.0,55.0,53.11111,29.222221,45.22222,35.333336,48.88889,44.11111,52.88889,43.77778,34.555557,44.666668,31.444445,47.11111,47.11111,44.0,42.444443,45.444443,44.11111,53.666668,17.333334,18.333334,17.11111,10.888889,13.333333,6.5555553,13.555555,6.2222223,12.666667,17.11111,15.777778,6.5555553,15.444445,12.444445,12.444445,14.444445,6.2222223,9.555555,12.111111,20.11111,9.777778,5.3333335,9.888889,10.666667,13.111111,10.888889,11.555555
